test,violations,paths,addresses,spec,misforwarding,guided,trace,filename,wall_time,Running time,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x400e11,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.489560427988181,0.187585921026766,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x400e43,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.44058332502027,0.106516030005878,
spectrev1 --case case_12,1,NA,Instruction Address 0x400e78,True,False,False,False,spectrev1 --case case_12.spec.O0,0.501187207002658,0.0981991100125015,10.260845749086
spectrev1 --case case_13,1,NA,Instruction Address 0x400eaa,True,False,False,False,spectrev1 --case case_13.spec.O0,0.441561143001309,0.151174405007623,
spectrev1 --case case_14,1,NA,Instruction Address 0x400ee8,True,False,False,False,spectrev1 --case case_14.spec.O0,0.377104377024807,0.104802029003622,
GCC_O2,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400e1e,True,False,False,False,spectrev1 --case case_1.spec.O0,1.24477763901814,0.218199129012646,
spectrev1 --case case_2,1,NA,Instruction Address 0x400e1e,True,False,False,False,spectrev1 --case case_2.spec.O0,0.713290589977987,0.140120646014111,
spectrev1 --case case_3,1,NA,Instruction Address 0x400de8,True,False,False,False,spectrev1 --case case_3.spec.O0,0.832695168995997,0.164835233008489,
spectrev1 --case case_4,1,NA,Instruction Address 0x400f6d,True,False,False,False,spectrev1 --case case_4.spec.O0,0.614013307989808,0.111204676999478,
spectrev1 --case case_5,1,NA,Instruction Address 0x400e5c,True,False,False,False,spectrev1 --case case_5.spec.O0,0.632500845997129,0.131902616005391,
spectrev1 --case case_6,0,NA,,True,False,False,False,spectrev1 --case case_6.spec.O0,1.23447822598973,0.741766537015792,11.286152435001
spectrev1 --case case_7,1,NA,Instruction Address 0x400ff7,True,False,False,False,spectrev1 --case case_7.spec.O0,0.544515569985379,0.201013057987439,
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.20185539798695,0.784949744993355,
spectrev1 --case case_9,1,NA,Instruction Address 0x400e1e,True,False,False,False,spectrev1 --case case_9.spec.O0,0.582142416009447,0.159411884989822,
spectrev1 --case case_10,1,NA,Instruction Address 0x401094,True,False,False,False,spectrev1 --case case_10.spec.O0,0.506879085005494,0.112833507999312,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x400e89,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.54019961800077,0.102150438993704,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x400ece,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.573785584012512,0.101546489022439,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x401127,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.520509725989541,0.146875041013118,
spectrev1 --case case_12,1,NA,Instruction Address 0x40116a,True,False,False,False,spectrev1 --case case_12.spec.O0,0.478016903012758,0.115997739019804,
spectrev1 --case case_13,1,NA,Instruction Address 0x400e1e,True,False,False,False,spectrev1 --case case_13.spec.O0,0.56325725701754,0.10289257299155,
spectrev1 --case case_14,1,NA,Instruction Address 0x4011d3,True,False,False,False,spectrev1 --case case_14.spec.O0,0.503235100011807,0.163812807004433,
GCC_O3,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x4010d7,True,False,False,False,spectrev1 --case case_1.spec.O0,1.23761061197729,0.23460278098355,
spectrev1 --case case_2,1,NA,Instruction Address 0x401117,True,False,False,False,spectrev1 --case case_2.spec.O0,0.735505381016992,0.199749299004907,
spectrev1 --case case_3,1,NA,Instruction Address 0x401068,True,False,False,False,spectrev1 --case case_3.spec.O0,0.779324481991353,0.186432299000444,
spectrev1 --case case_4,1,NA,Instruction Address 0x40117d,True,False,False,False,spectrev1 --case case_4.spec.O0,0.640328520006733,0.114170875982381,
spectrev1 --case case_5,1,NA,Instruction Address 0x4011ca,True,False,False,False,spectrev1 --case case_5.spec.O0,0.619461360998685,0.127000570995733,
spectrev1 --case case_6,0,NA,,True,False,False,False,spectrev1 --case case_6.spec.O0,1.22473229200114,0.722047286981251,
spectrev1 --case case_7,1,NA,Instruction Address 0x401497,True,False,False,False,spectrev1 --case case_7.spec.O0,0.604340065998258,0.23299438302638,11.2706518169725
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.1296545759833,0.719580578996101,
spectrev1 --case case_9,1,NA,Instruction Address 0x401529,True,False,False,False,spectrev1 --case case_9.spec.O0,0.57996942801401,0.178865252004471,
spectrev1 --case case_10,1,NA,Instruction Address 0x401554,True,False,False,False,spectrev1 --case case_10.spec.O0,0.541409989004023,0.129506444005528,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x4015a2,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.494888587010792,0.0898747559986077,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x4015f7,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.553348905988969,0.114708303008229,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x401637,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.629955734999385,0.160797923977952,
spectrev1 --case case_12,1,NA,Instruction Address 0x40167a,True,False,False,False,spectrev1 --case case_12.spec.O0,0.497279080009321,0.109288898995146,
spectrev1 --case case_13,1,NA,Instruction Address 0x4016b7,True,False,False,False,spectrev1 --case case_13.spec.O0,0.521959984995192,0.104611803981243,
spectrev1 --case case_14,1,NA,Instruction Address 0x401703,True,False,False,False,spectrev1 --case case_14.spec.O0,0.4808828169771,0.165202036994742,
GCC_Ofast,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x4010f7,True,False,False,False,spectrev1 --case case_1.spec.O0,1.24405427099555,0.197217988985358,
spectrev1 --case case_2,1,NA,Instruction Address 0x401137,True,False,False,False,spectrev1 --case case_2.spec.O0,0.629017486004159,0.123641332000261,
spectrev1 --case case_3,1,NA,Instruction Address 0x401088,True,False,False,False,spectrev1 --case case_3.spec.O0,0.841999974974897,0.176041614002315,
spectrev1 --case case_4,1,NA,Instruction Address 0x40119d,True,False,False,False,spectrev1 --case case_4.spec.O0,0.665183078992413,0.137864261982031,
spectrev1 --case case_5,1,NA,Instruction Address 0x4011ea,True,False,False,False,spectrev1 --case case_5.spec.O0,0.603995381010463,0.116108863003319,
spectrev1 --case case_6,0,NA,,True,False,False,False,spectrev1 --case case_6.spec.O0,1.25258699597907,0.727647420018911,
spectrev1 --case case_7,1,NA,Instruction Address 0x4014b7,True,False,False,False,spectrev1 --case case_7.spec.O0,0.608841294015292,0.24992114098859,11.5978873830172
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.35997037499328,0.779115274985088,
spectrev1 --case case_9,1,NA,Instruction Address 0x401549,True,False,False,False,spectrev1 --case case_9.spec.O0,0.651361716998508,0.122700259991689,
spectrev1 --case case_10,1,NA,Instruction Address 0x401574,True,False,False,False,spectrev1 --case case_10.spec.O0,0.568532735022018,0.196149221010273,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x4015c2,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.529490930988686,0.10829020300298,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x401617,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.559614201018121,0.109473565011285,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x401657,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.555986810999457,0.10245585499797,
spectrev1 --case case_12,1,NA,Instruction Address 0x40169a,True,False,False,False,spectrev1 --case case_12.spec.O0,0.528617269010283,0.174646202998701,
spectrev1 --case case_13,1,NA,Instruction Address 0x4016d7,True,False,False,False,spectrev1 --case case_13.spec.O0,0.50887294500717,0.137613728002179,
spectrev1 --case case_14,1,NA,Instruction Address 0x401723,True,False,False,False,spectrev1 --case case_14.spec.O0,0.489761917007854,0.0964182240131777,
Clang_O0,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400bac,True,False,False,False,spectrev1 --case case_1.spec.O0,1.27414633400622,0.232923704985296,
spectrev1 --case case_2,1,NA,Instruction Address 0x400c24,True,False,False,False,spectrev1 --case case_2.spec.O0,0.709445827989839,0.162784968997585,
spectrev1 --case case_3,1,NA,Instruction Address 0x400ca4,True,False,False,False,spectrev1 --case case_3.spec.O0,0.844969635974849,0.214561064989539,
spectrev1 --case case_4,1,NA,Instruction Address 0x400d07,True,False,False,False,spectrev1 --case case_4.spec.O0,0.601535349996993,0.12457997398451,
spectrev1 --case case_5,1,NA,Instruction Address 0x400d73,True,False,False,False,spectrev1 --case case_5.spec.O0,0.700137044012081,0.158298003982054,
spectrev1 --case case_6,1,NA,Instruction Address 0x400df3,True,False,False,False,spectrev1 --case case_6.spec.O0,0.686620161985047,0.152844048017869,
spectrev1 --case case_7,1,NA,Instruction Address 0x400e4c,True,False,False,False,spectrev1 --case case_7.spec.O0,0.655235840007663,0.159108880005078,10.5680727469735
spectrev1 --case case_8,1,NA,Instruction Address 0x400ed6,True,False,False,False,spectrev1 --case case_8.spec.O0,0.627364170999499,0.240932659973623,
spectrev1 --case case_9,1,NA,Instruction Address 0x400f29,True,False,False,False,spectrev1 --case case_9.spec.O0,0.47026657499373,0.109802376013249,
spectrev1 --case case_10,1,NA,Instruction Address 0x400f82,True,False,False,False,spectrev1 --case case_10.spec.O0,0.572510514990427,0.127759594994131,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x40107a,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.628579868993256,0.173579092981527,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x401170,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.595704319013748,0.258109716000035,
spectrev1 --case case_11sub,2,NA,"Instruction Address 0x401294,Instruction Address 0x4012d9",True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.615390110993758,0.274525089014787,
spectrev1 --case case_12,1,NA,Instruction Address 0x401328,True,False,False,False,spectrev1 --case case_12.spec.O0,0.534360574994935,0.129914796998492,
spectrev1 --case case_13,1,NA,Instruction Address 0x4013a1,True,False,False,False,spectrev1 --case case_13.spec.O0,0.57699292502366,0.21865931598586,
spectrev1 --case case_14,1,NA,Instruction Address 0x401417,True,False,False,False,spectrev1 --case case_14.spec.O0,0.474813492997782,0.151024087012047,
Clang_O1,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400b94,True,False,False,False,spectrev1 --case case_1.spec.O0,1.26078835397493,0.194317694986239,
spectrev1 --case case_2,1,NA,Instruction Address 0x400bd6,True,False,False,False,spectrev1 --case case_2.spec.O0,0.727639040007489,0.153673666005489,
spectrev1 --case case_3,1,NA,Instruction Address 0x400c16,True,False,False,False,spectrev1 --case case_3.spec.O0,0.668076420988655,0.122521499026334,
spectrev1 --case case_4,1,NA,Instruction Address 0x400c4b,True,False,False,False,spectrev1 --case case_4.spec.O0,0.686667539004702,0.0911865799862426,
spectrev1 --case case_5,1,NA,Instruction Address 0x400c7b,True,False,False,False,spectrev1 --case case_5.spec.O0,0.734718361025443,0.184487893013284,
spectrev1 --case case_6,1,NA,Instruction Address 0x400cae,True,False,False,False,spectrev1 --case case_6.spec.O0,0.555005044006975,0.102888409979641,
spectrev1 --case case_7,1,NA,Instruction Address 0x400cde,True,False,False,False,spectrev1 --case case_7.spec.O0,0.71943015299621,0.142938675999176,
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.37825617700582,0.830326258001151,10.8710735779896
spectrev1 --case case_9,1,NA,Instruction Address 0x400d44,True,False,False,False,spectrev1 --case case_9.spec.O0,0.520539686986012,0.15088979198481,
spectrev1 --case case_10,1,NA,Instruction Address 0x400d70,True,False,False,False,spectrev1 --case case_10.spec.O0,0.592043113982072,0.150503426993964,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x400dc6,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.530106116988463,0.102113450004254,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x400e27,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.545305633975659,0.100404834985966,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x400e67,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.52903397398768,0.176691767002922,
spectrev1 --case case_12,1,NA,Instruction Address 0x400e87,True,False,False,False,spectrev1 --case case_12.spec.O0,0.449498863017652,0.0987270649929997,
spectrev1 --case case_13,1,NA,Instruction Address 0x400eb4,True,False,False,False,spectrev1 --case case_13.spec.O0,0.486908534017857,0.109852474008221,
spectrev1 --case case_14,1,NA,Instruction Address 0x400ef0,True,False,False,False,spectrev1 --case case_14.spec.O0,0.487056566023966,0.154701526014833,
Clang_O2,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400b94,True,False,False,False,spectrev1 --case case_1.spec.O0,1.26044165698113,0.215453629993135,
spectrev1 --case case_2,1,NA,Instruction Address 0x400bc4,True,False,False,False,spectrev1 --case case_2.spec.O0,0.666263855993748,0.113191657990683,
spectrev1 --case case_3,1,NA,Instruction Address 0x400c06,True,False,False,False,spectrev1 --case case_3.spec.O0,0.756040170992492,0.15694643300958,
spectrev1 --case case_4,1,NA,Instruction Address 0x400c3b,True,False,False,False,spectrev1 --case case_4.spec.O0,0.627750512998318,0.0958517869876232,
spectrev1 --case case_5,2,NA,"Instruction Address 0x400c76,Instruction Address 0x400c9b",True,False,False,False,spectrev1 --case case_5.spec.O0,0.754943488020217,0.250062531995354,
spectrev1 --case case_6,1,NA,Instruction Address 0x400cee,True,False,False,False,spectrev1 --case case_6.spec.O0,0.524721870984649,0.106889688991942,10.5301301920554
spectrev1 --case case_7,1,NA,Instruction Address 0x400d1e,True,False,False,False,spectrev1 --case case_7.spec.O0,0.767475892993389,0.133201329997974,
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.31142055901,0.811740375997033,
spectrev1 --case case_9,1,NA,Instruction Address 0x400d84,True,False,False,False,spectrev1 --case case_9.spec.O0,0.473366128018824,0.148238902998855,
spectrev1 --case case_10,1,NA,Instruction Address 0x400db0,True,False,False,False,spectrev1 --case case_10.spec.O0,0.529262535012094,0.113764990994241,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x400dda,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.524004980019527,0.0883199149975553,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x400e14,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.528121975017712,0.0852272660122253,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x400e44,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.495102857996244,0.157019088015659,
spectrev1 --case case_12,1,NA,Instruction Address 0x400e77,True,False,False,False,spectrev1 --case case_12.spec.O0,0.436244140000781,0.108326793997549,
spectrev1 --case case_13,1,NA,Instruction Address 0x400ea4,True,False,False,False,spectrev1 --case case_13.spec.O0,0.457319834007649,0.101470339985099,
spectrev1 --case case_14,1,NA,Instruction Address 0x400ee0,True,False,False,False,spectrev1 --case case_14.spec.O0,0.417649734008592,0.143634417996509,
Clang_O3,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400b94,True,False,False,False,spectrev1 --case case_1.spec.O0,1.25254173501162,0.204037708987016,
spectrev1 --case case_2,1,NA,Instruction Address 0x400bc4,True,False,False,False,spectrev1 --case case_2.spec.O0,0.644652615010273,0.126638054003706,
spectrev1 --case case_3,1,NA,Instruction Address 0x400c06,True,False,False,False,spectrev1 --case case_3.spec.O0,0.740431009995518,0.123455099004786,
spectrev1 --case case_4,1,NA,Instruction Address 0x400c3b,True,False,False,False,spectrev1 --case case_4.spec.O0,0.64108396100346,0.100931685999967,
spectrev1 --case case_5,2,NA,"Instruction Address 0x400c76,Instruction Address 0x400c9b",True,False,False,False,spectrev1 --case case_5.spec.O0,0.835119534982368,0.226006962009706,
spectrev1 --case case_6,1,NA,Instruction Address 0x400cee,True,False,False,False,spectrev1 --case case_6.spec.O0,0.553218956978526,0.105666905001272,
spectrev1 --case case_7,1,NA,Instruction Address 0x400d1e,True,False,False,False,spectrev1 --case case_7.spec.O0,0.678177024004981,0.134101211006055,
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.24956807601848,0.816677190014161,10.6270370489801
spectrev1 --case case_9,1,NA,Instruction Address 0x400d84,True,False,False,False,spectrev1 --case case_9.spec.O0,0.431931995990453,0.0834404990018811,
spectrev1 --case case_10,1,NA,Instruction Address 0x400db0,True,False,False,False,spectrev1 --case case_10.spec.O0,0.568430828978308,0.117091105988948,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x400dda,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.549858398007927,0.100385158002609,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x400e14,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.549558116006665,0.110135280003306,
spectrev1 --case case_11sub,1,NA,Instruction Address 0x400e44,True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.510044165013824,0.172895166004309,
spectrev1 --case case_12,1,NA,Instruction Address 0x400e77,True,False,False,False,spectrev1 --case case_12.spec.O0,0.443551420001313,0.116923609020887,
